input_text,target_text
extract transaction: I picked up prescription for $3070,"type: expense, amount: 3070, category: healthcare"
extract transaction: Received $55 as interest income,"type: income, amount: 55, category: interest"
extract transaction: I got $4014 from rebate,"type: income, amount: 4014, category: other"
extract transaction: Received $3330 as holiday bonus,"type: income, amount: 3330, category: bonus"
"extract transaction: My birthday money came in, got $1430","type: income, amount: 1430, category: gift"
"extract transaction: Bought prescription, it cost me $3589","type: expense, amount: 3589, category: healthcare"
extract transaction: I got $300 from dividend,"type: income, amount: 300, category: investment"
extract transaction: Got paid $205 thanks to contract work,"type: income, amount: 205, category: freelance"
extract transaction: Received $434 as rebate,"type: income, amount: 434, category: other"
extract transaction: Dropped $2705 on veggies,"type: expense, amount: 2705, category: groceries"
extract transaction: paycheque brought in $228,"type: income, amount: 228, category: salary"
extract transaction: Got paid $315 thanks to holiday bonus,"type: income, amount: 315, category: bonus"
extract transaction: holiday bonus brought in $1513,"type: income, amount: 1513, category: bonus"
extract transaction: Dropped $1642 on car insurance,"type: expense, amount: 1642, category: insurance"
"extract transaction: Bought electricity bill, it cost me $3362","type: expense, amount: 3362, category: utilities"
extract transaction: interest income brought in $4048,"type: income, amount: 4048, category: interest"
extract transaction: Paid $3823 for heating from Superstore,"type: expense, amount: 3823, category: utilities"
"extract transaction: My stock payout came in, got $2069","type: income, amount: 2069, category: investment"
extract transaction: cashback brought in $4651,"type: income, amount: 4651, category: other"
extract transaction: Paid $992 for brunch from Superstore,"type: expense, amount: 992, category: food_and_dining"
"extract transaction: Bought doctor visit, it cost me $1296","type: expense, amount: 1296, category: healthcare"
extract transaction: project payout brought in $4007,"type: income, amount: 4007, category: freelance"
